Promo Name,Discount type,Percentage,Discount,Minimum payout,Slots,Campaign Name,Bitly Name,Appsflyer Link,Bitly Link,Push,Push Deeplink,SMS,
MFawf,Instalment discount,,250,9000,1st slot,Churn_9K,248_Churn_9K,https://moneyfellows.onelink.me/zsgo/0mj9udts,https://mnyfellows.com/3WBzQpM,????? ?? ?? ????? ???? ??? ????? ??9000? ?? ???? ??????? ???? 250?. ???: MFawf,moneyfellows://link/payout-slot/12/9000,????? ?? ?? ????? ???? ??? ????? ??9000? ?? ???? ??????? ???? 250?. ???: MFawf. ?? ???:/nhttps://mnyfellows.com/3WBzQpM,119
MFucg,Instalment discount,,600,18000,1st slot,Churn_18K,248_Churn_18K,https://moneyfellows.onelink.me/zsgo/dhpuwvqn,https://mnyfellows.com/3LZ9x7Y,????? ?? ?? ????? ???? ??? ????? ??18000? ?? ???? ??????? ???? 600?. ???: MFucg,moneyfellows://link/payout-slot/12/18000,????? ?? ?? ????? ???? ??? ????? ??18000? ?? ???? ??????? ???? 600?. ???: MFucg. ?? ???:/nhttps://mnyfellows.com/3LZ9x7Y,120
MF4bf,Instalment discount,,1100,27000,1st slot,Churn_27K,248_Churn_27K,https://moneyfellows.onelink.me/zsgo/1rxs7vyx,https://mnyfellows.com/3LYJCgy,????? ?? ?? ????? ???? ??? ????? ??27000? ?? ???? ??????? ???? 1100?. ???: MF4bf,moneyfellows://link/payout-slot/12/27000,????? ?? ?? ????? ???? ??? ????? ??27000? ?? ???? ??????? ???? 1100?. ???: MF4bf. ?? ???:/nhttps://mnyfellows.com/3LYJCgy,121
MF66x,Instalment discount,,1700,36000,1st slot,Churn_36K,248_Churn_36K,https://moneyfellows.onelink.me/zsgo/xp7jq6k9,https://mnyfellows.com/3ylJchj,????? ?? ?? ????? ???? ??? ????? ??36000? ?? ???? ??????? ???? 1700?. ???: MF66x,moneyfellows://link/payout-slot/12/36000,????? ?? ?? ????? ???? ??? ????? ??36000? ?? ???? ??????? ???? 1700?. ???: MF66x. ?? ???:/nhttps://mnyfellows.com/3ylJchj,121
MFxr2,Instalment discount,,2000,51000,1st slot,Churn_51K,248_Churn_51K,https://moneyfellows.onelink.me/zsgo/261v1hax,https://mnyfellows.com/3yvKYwe,????? ?? ?? ????? ???? ??? ????? ??51000? ?? ???? ??????? ???? 2000?. ???: MFxr2,moneyfellows://link/payout-slot/12/51000,????? ?? ?? ????? ???? ??? ????? ??51000? ?? ???? ??????? ???? 2000?. ???: MFxr2. ?? ???:/nhttps://mnyfellows.com/3yvKYwe,121
MFpqv,Instalment discount,,200,9000,1st slot,Inactive_9k,248_Inactive_9k,https://moneyfellows.onelink.me/zsgo/3aw38gtn,https://mnyfellows.com/3WB9Fj2,????? ?? ?? ????? ???? ??? ????? ??9000? ?? ???? ??????? ???? 200?. ???: MFpqv,moneyfellows://link/payout-slot/12/9000,????? ?? ?? ????? ???? ??? ????? ??9000? ?? ???? ??????? ???? 200?. ???: MFpqv. ?? ???:/nhttps://mnyfellows.com/3WB9Fj2,119
MFswc,Instalment discount,,500,18000,1st slot,Inactive_18K(FlatUsers),248_Inactive_18K(FlatUsers),https://moneyfellows.onelink.me/zsgo/xgdmfd83,https://mnyfellows.com/3LZAoRa,????? ?? ?? ????? ???? ??? ????? ??18000? ?? ???? ??????? ???? 500?. ???: MFswc,moneyfellows://link/payout-slot/12/18000,????? ?? ?? ????? ???? ??? ????? ??18000? ?? ???? ??????? ???? 500?. ???: MFswc. ?? ???:/nhttps://mnyfellows.com/3LZAoRa,120
MF6a9,Instalment discount,30,500,18000,1st slot,Inactive_18K(PercentageUsers),248_Inactive_18K(PercentageUsers),https://moneyfellows.onelink.me/zsgo/ria2mx5n,https://mnyfellows.com/3LZAp7G,????? ?? ?? ????? ???? ??? ????? ??18000? ?? ???? ??????? ???? 30? ???? ??500. ???: MF6a9,moneyfellows://link/payout-slot/12/18000,????? ?? ?? ????? ???? ??? ????? ??18000? ?? ???? ??????? ???? 30? ???? ??500. ???: MF6a9. ?? ???:/nhttps://mnyfellows.com/3LZAp7G,130
MFwca,Instalment discount,,900,27000,1st slot,Inactive_27K,248_Inactive_27K,https://moneyfellows.onelink.me/zsgo/z9l9ey58,https://mnyfellows.com/3YIGrB8,????? ?? ?? ????? ???? ??? ????? ??27000? ?? ???? ??????? ???? 900?. ???: MFwca,moneyfellows://link/payout-slot/12/27000,????? ?? ?? ????? ???? ??? ????? ??27000? ?? ???? ??????? ???? 900?. ???: MFwca. ?? ???:/nhttps://mnyfellows.com/3YIGrB8,120
MF851,Instalment discount,,1300,36000,1st slot,Inactive36K,248_Inactive36K,https://moneyfellows.onelink.me/zsgo/amcmvceu,https://mnyfellows.com/3LZApoc,????? ?? ?? ????? ???? ??? ????? ??36000? ?? ???? ??????? ???? 1300?. ???: MF851,moneyfellows://link/payout-slot/12/36000,????? ?? ?? ????? ???? ??? ????? ??36000? ?? ???? ??????? ???? 1300?. ???: MF851. ?? ???:/nhttps://mnyfellows.com/3LZApoc,121
